!!!SBtab DocumentName='iCH360' Name='iCH360' SBtabVersion='1.0' Date='2024-9-3'																										
!!SBtab TableID='compartment' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Compartment' TableName='Compartment' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!Size	!Unit	!SBOTerm																						
c	cytosol	nan																								
e	extracellular space	nan																								
p	periplasm	nan																								
																										
!!SBtab TableID='compound' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Compound' TableName='Compound' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchikey	!Identifiers:kegg.compound	!Identifiers:metanetx.chemical	!Identifiers:reactome	!Identifiers:sabiork.compound	!Identifiers:seed.compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg.drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
M_fum_p	Fumarate	p	False	SBO:0000247	0.0010000000000000002	False	C4H2O4	-2	fum	META:FUM	CHEBI:24122	HMDB00134	VZCYOOQTPOCHFL-OWOJBTEDSA-L	C00122	MNXM93	29586	1910	cpd00106		709035ec-4868-4de8-9095-06428f6be14b	D02308					
M_gln__L_e	L-Glutamine	e	False	SBO:0000247	0.0010000000000000002	False	C5H10N2O3	0	gln__L	META:GLN	CHEBI:24316	HMDB00641	ZDXPYRJPNDTMRX-VKHMYHEASA-N	C00064	MNXM37	29472	74	cpd00053			D00015					
M_3ohexACP_c	3-Oxohexanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.05823011502222364	False	C17H29N2O9PRS	-1	3ohexACP	META:3-oxo-hexanoyl-ACPs	CHEBI:1642			C05746	MNXM25602		8106	cpd11486					LMFA07060005			
M_3ocddec5eACP_c	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.01668453259099897	False	C23H39N2O9PRS	-1	3ocddec5eACP						MNXM6837			cpd15373								
M_r5p_c	Alpha-D-Ribose 5-phosphate	c	False	SBO:0000247	0.11236555547721132	False	C5H9O8P	-2	r5p	META:CPD-15318	CHEBI:10270		KTVPXOYAKDPRHY-AIHAYLRMSA-L	C03736	MNXM15900		1473	cpd19028								
M_akg_c	2-Oxoglutarate	c	False	SBO:0000247	0.0010000000000005287	False	C5H4O5	-2	akg	META:2-KETOGLUTARATE	CHEBI:19748	HMDB62781	KPGXRSRHYNQIFN-UHFFFAOYSA-L	C00026	MNXM20	389537	1922	cpd00024		5b0a94f6-d411-44fd-bcc1-fb79b4e697f5		6557f3f2-0ab8-494b-a865-8ce0eae788a9				
M_ac_c	Acetate	c	False	SBO:0000247	3.7551186633322	False	C2H3O2	-1	ac	META:ACET	CHEBI:40486	HMDB00042	QTBSBXVTEAMEQO-UHFFFAOYSA-M	C00033	MNXM26	29416	1278	cpd00029	3e2d750f-df31-4445-9255-163c627e9b4a	b545cabc-8c9e-4b20-8848-efa015b481ea	D00010	d45256fe-61fa-4f5b-bb16-91a3d615e3d8	LMFA01010002	5e4989fc-13d3-45d4-ad57-3be380a9d3c0	449	
M_citr__L_c	L-Citrulline	c	False	SBO:0000247	0.1509469375130458	False	C6H13N3O3	0	citr__L	META:L-CITRULLINE	CHEBI:57743	HMDB00904	RHGKLRLOHDJJDR-BYPYZUCNSA-N	C00327	MNXM211	29968	1329	cpd00274			D07706					
M_34hpp_c	3-(4-Hydroxyphenyl)pyruvate	c	False	SBO:0000247	0.11982700401431098	False	C9H7O4	-1	34hpp	META:P-HYDROXY-PHENYLPYRUVATE	CHEBI:1431	HMDB00707	KKADPXVIOXHVKN-UHFFFAOYSA-M	C01179	MNXM153	31365	5423	cpd00868		f2e806ef-76ea-4ddf-bf89-db7737caa79b						
M_pep_c	Phosphoenolpyruvate	c	False	SBO:0000247	0.11555161407996785	False	C3H2O6P	-3	pep	META:PHOSPHO-ENOL-PYRUVATE	CHEBI:44897	HMDB00263	DTBNBXWJWCWCIK-UHFFFAOYSA-K	C00074	MNXM73	29492	32	cpd00061								
M_h_c	H+	c	False	SBO:0000247	0.0093646540005802	False	H	1	h	META:PROTON	CHEBI:10744	HMDB59597	GPRLSGONYQIRFK-UHFFFAOYSA-N	C00080	MNXM1	372511	39	cpd00067								
M_rib__D_c	D-Ribose	c	False	SBO:0000247	0.0010000000000000002	False	C5H10O5	0	rib__D	META:D-Ribopyranose	CHEBI:21078	HMDB00283	HMFHBZSHGGEWLO-SOOFDHNKSA-N	C00121	MNXM242		1653	cpd00105								
M_gthrd_c	Reduced glutathione	c	False	SBO:0000247	0.0010000000000000002	False	C10H16N3O6S	-1	gthrd	META:GLUTATHIONE	CHEBI:42873	HMDB06960	RWSXRVCMGQZWBV-WDSKDSINSA-M	C00051	MNXM57	158543	1926	cpd00042			D00014					
M_actACP_c	Acetoacetyl-ACP	c	False	SBO:0000247	0.032790705622385015	False	C15H25N2O9PRS	-1	actACP	META:Acetoacetyl-ACP	CHEBI:2393			C05744	MNXM1223		8104	cpd11488								
M_actp_c	Acetyl phosphate	c	False	SBO:0000247	0.20368124129006945	False	C2H3O5P	-2	actp	META:ACETYL-P	CHEBI:2407	HMDB01494	LIPOUNRJVLNBCD-UHFFFAOYSA-L	C00227	MNXM280		1316	cpd00196								
M_pyr_p	Pyruvate	p	False	SBO:0000247	0.0010000000000000002	False	C3H3O3	-1	pyr	META:PYRUVATE	CHEBI:15361	HMDB00243	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020	ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077			
M_cyst__L_c	L-Cystathionine	c	False	SBO:0000247	0.3294433981394053	False	C7H14N2O4S	0	cyst__L	META:L-CYSTATHIONINE	CHEBI:58161	HMDB03614	ILRYLPWNYFXEMH-WHFBIAKZSA-N	C02291	MNXM319	1614518	6114	cpd19019								
M_dutp_c	DUTP C9H11N2O14P3	c	False	SBO:0000247	0.038635857285949364	False	C9H11N2O14P3	-4	dutp	META:DUTP	CHEBI:58212	HMDB01191	AHCYMLUZIRLXAA-SHYZEUOFSA-J	C00460	MNXM452	500739	1680	cpd00358								
M_h2o_p	H2O H2O	p	False	SBO:0000247	0.0010000000000000002	False	H2O	0	h2o	META:OH	CHEBI:44701	HMDB01039	XLYOFNOQVPJJNP-UHFFFAOYSA-N	C00001	MNXM2	351603	40	cpd15275	e7f34a8e-cded-4793-b6d5-792335b38636		D06322			969d0227-3069-4e44-9525-7ae7bad84170		
M_glyc3p_c	Glycerol 3-phosphate	c	False	SBO:0000247	0.0225134842483274	False	C3H7O6P	-2	glyc3p	META:GLYCEROL-3P	CHEBI:15978	HMDB00126	AWUCVROLDVIAJX-GSVOUGTGSA-L	C00093	MNXM66	76114	1296	cpd00080								
M_2ahbut_c	(S)-2-Aceto-2-hydroxybutanoate	c	False	SBO:0000247	0.10720982902250649	False	C6H9O4	-1	2ahbut	META:2-ACETO-2-HYDROXY-BUTYRATE	CHEBI:373	HMDB06900	VUQLHQFKACOHNZ-LURJTMIESA-M	C06006	MNXM114220		2852	cpd19045					LMFA01050383			
M_ser__L_c	L-Serine	c	False	SBO:0000247	9.999999999996191	False	C3H7NO3	0	ser__L	META:Serines	CHEBI:9116	HMDB62263	MTCFGRXMJLQNBG-REOHCLBHSA-N	C00065	MNXM53	200736	75	cpd30743		207ebcd7-f859-4b01-8a69-9b99fb380595	D00016		LMFA01100045			
M_toct2eACP_c	Trans-Oct-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.1770847149846347	False	C19H33N2O8PRS	-1	toct2eACP	META:2-Octenoyl-ACPs				C05751	MNXM23766			cpd11471					LMFA07060009			
M_ump_c	UMP C9H11N2O9P	c	False	SBO:0000247	0.5756034478067592	False	C9H11N2O9P	-2	ump	META:UMP	CHEBI:46362	HMDB00288	DJJCXFVJDGTHFX-XVFCMESISA-L	C00105	MNXM80	109402	25061	cpd00091								
M_3pg_c	3-Phospho-D-glycerate	c	False	SBO:0000247	2.501313188715672	False	C3H4O7P	-3	3pg	META:G3P	CHEBI:12987	HMDB60180	OSJPPGNTCRNQQC-UWTATZPHSA-K	C00197	MNXM126	29728	21216	cpd00169								
M_ctp_c	CTP C9H12N3O14P3	c	False	SBO:0000247	0.09080551894434695	False	C9H12N3O14P3	-4	ctp	META:CTP	CHEBI:17677	HMDB00082	PCDQPRRSZKQHHS-XVFCMESISA-J	C00063	MNXM63	110577	1286	cpd00052								
M_dadp_c	DADP C10H12N5O9P2	c	False	SBO:0000247	0.2961830534307673	False	C10H12N5O9P2	-3	dadp	META:DADP	CHEBI:14067	HMDB01508	DAEAPNUQQAICNR-RRKCRQDMSA-K	C00206	MNXM374	500087	1314	cpd00177								
M_xu5p__D_c	D-Xylulose 5-phosphate	c	False	SBO:0000247	0.039326454742144315	False	C5H9O8P	-2	xu5p__D	META:XYLULOSE-5-PHOSPHATE	CHEBI:21121	HMDB00868	FNZLKVNUWIIPSJ-RFZPGFLSSA-L	C00231	MNXM186	29790	1317	cpd00198								
M_aspsa_c	L-Aspartate 4-semialdehyde	c	False	SBO:0000247	0.001000000000000185	False	C4H7NO3	0	aspsa	META:L-ASPARTATE-SEMIALDEHYDE	CHEBI:537519	HMDB12249	HOSWPDPVFBCLSY-VKHMYHEASA-N	C00441	MNXM361		2052	cpd00346								
M_thex2eACP_c	Trans-Hex-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.10560047840096455	False	C17H29N2O8PRS	-1	thex2eACP	META:Hex-2-enoyl-ACPs	CHEBI:10727			C05748	MNXM24502			cpd11473					LMFA07060007			
M_t3c9palmeACP_c	Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.02524155640855652	False	C27H47N2O8PRS	-1	t3c9palmeACP						MNXM5961			cpd15571								
M_accoa_c	Acetyl-CoA	c	False	SBO:0000247	0.0038019338946200555	False	C23H34N7O17P3S	-4	accoa	META:ACETYL-COA	CHEBI:40470	HMDB01206	ZSLZBFCDCINBPY-ZSJPKINUSA-J	C00024	MNXM21	113559	1276	cpd00022		57bd5e24-9d14-4b91-bc60-64c8ea6c2d11			LMFA07050281		297	
M_arg__L_c	L-Arginine	c	False	SBO:0000247	0.015263244726125103	False	C6H15N4O2	1	arg__L	META:ARG	CHEBI:133495	HMDB00517	ODKSFYDXXFIFQN-BYPYZUCNSA-O	C00062	MNXM70	113530	80	cpd19021			D02982					
M_26dap_LL_c	LL-2,6-Diaminoheptanedioate	c	False	SBO:0000247	0.022668054354710882	False	C7H14N2O4	0	26dap_LL	META:LL-DIAMINOPIMELATE	CHEBI:47031	HMDB01370	GMKMEZVLHJARHF-WHFBIAKZSA-N	C00666	MNXM644		5171	cpd00504					LMFA01170102			
M_asp__L_c	L-Aspartate	c	False	SBO:0000247	9.99999999999644	False	C4H6NO4	-1	asp__L	META:L-ASPARTATE	CHEBI:40900	HMDB00191	CKLJMWTZIZZHCS-REOHCLBHSA-M	C00049	MNXM42	29448	71	cpd19181		4b0cdcb0-137a-4ddc-8e5c-2b55ea238c15	D00013					
M_acg5sa_c	N-Acetyl-L-glutamate 5-semialdehyde	c	False	SBO:0000247	0.01985684752161174	False	C7H10NO4	-1	acg5sa	META:CPD-469	CHEBI:21551	HMDB06488	BCPSFKBPHHBDAI-LURJTMIESA-M	C01250	MNXM1062		2267	cpd00918								
M_hexACP_c	Hexanoyl-ACP (n-C6:0ACP)	c	False	SBO:0000247	0.20109979095125924	False	C17H31N2O8PRS	-1	hexACP						MNXM90722											
M_skm_c	Shikimate	c	False	SBO:0000247	0.01099927550967189	False	C7H9O5	-1	skm	META:SHIKIMATE	CHEBI:36208	HMDB03070	JXOHGGNKMLTUBP-HSUXUTPPSA-M	C00493	MNXM602	964932	5117	cpd00383								
M_imp_c	IMP C10H11N4O8P	c	False	SBO:0000247	0.045360831189755944	False	C10H11N4O8P	-2	imp	META:IMP	CHEBI:13372	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-L	C00130	MNXM125	29602	1306	cpd00114								
M_o2_c	O2 O2	c	False	SBO:0000247	0.2826963014949172	False	O2	0	o2	META:OXYGEN-MOLECULE	CHEBI:10745	HMDB01377	MYMOFIZGZYHOMD-UHFFFAOYSA-N	C00007	MNXM4	1236709	1264	cpd00007			D00003			d5d12248-82d3-4cf3-b7d0-2e3d096768b4		
M_h_p	H+	p	False	SBO:0000247	0.4757794462299772	False	H	1	h	META:PROTON	CHEBI:10744	HMDB59597	GPRLSGONYQIRFK-UHFFFAOYSA-N	C00080	MNXM1	372511	39	cpd00067								
M_succ_p	Succinate	p	False	SBO:0000247	0.0010000000000000002	False	C4H4O4	-2	succ	META:SUC	CHEBI:30031	HMDB00254	KDYFGRWQOYBRFD-UHFFFAOYSA-L	C00042	MNXM25	113536	1924	cpd00036	600b74d3-8fe5-426d-bedf-291175bd23e4	8fdfd425-4343-4bf2-8427-b2ffa57fdbd7		cc98aff0-7f64-4db4-9d59-de961c228496	LMFA01170043	6377658b-03f6-4fed-a5bf-ff0f2389b693		
M_phpyr_c	Phenylpyruvate	c	False	SBO:0000247	0.15472133850036088	False	C9H7O3	-1	phpyr	META:PHENYL-PYRUVATE	CHEBI:12821	HMDB01237	BTNMPGBKDVTSJY-UHFFFAOYSA-M	C00166	MNXM162242		1957	cpd00143	1a2c1780-502b-43c6-8d45-759953ea5e07							
M_fru_e	D-Fructose	e	False	SBO:0000247	0.0010000000000000002	False	C6H12O6	0	fru	META:FRU	CHEBI:48095	HMDB62538	RFSUNEUAIZKAJO-VRPWFDPXSA-N	C00095	MNXM175	29532	1464	cpd27040			D00114					
M_pyr_e	Pyruvate	e	False	SBO:0000247	0.0010000000000000002	False	C3H3O3	-1	pyr	META:PYRUVATE	CHEBI:15361	HMDB00243	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020	ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077			
M_5mthf_c	5-Methyltetrahydrofolate	c	False	SBO:0000247	0.002413765148647254	False	C20H24N7O6	-1	5mthf	META:5-METHYL-THF	CHEBI:15641	HMDB01396	ZNOVTXRBGFNYRX-STQMWFEESA-L	C00440	MNXM318	200665	2051	cpd00345			D09353					
M_nad_c	Nicotinamide adenine dinucleotide	c	False	SBO:0000247	9.999999999999087	False	C21H26N7O14P2	-1	nad	META:NAD	CHEBI:29867	HMDB00902	BAWFJGJZGIEFAR-NNYOXOHSSA-M	C00003	MNXM8	29360	37	cpd00003			D00002					
M_tdeACP_c	Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	c	False	SBO:0000247	0.11898249469150615	False	C25H45N2O8PRS	-1	tdeACP						MNXM162426											
M_3ocvac11eACP_c	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.0010000000000000002	False	C29H51N2O9PRS	-1	3ocvac11eACP						MNXM6840			cpd15376								
M_3hoctaACP_c	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.0010000000000000002	False	C29H55N2O9PRS	-1	3hoctaACP	R-3-hydroxystearoyl-ACPs				C16220	MNXM6417			cpd15371								
M_adp_c	ADP C10H12N5O10P2	c	False	SBO:0000247	0.007012484466661302	False	C10H12N5O10P2	-3	adp	META:ADP	CHEBI:13222	HMDB01341	XTWYTFMLZFPYCI-KQYNXXCUSA-K	C00008	MNXM7	113582	35	cpd00008								G11113
M_mal__L_c	L-Malate	c	False	SBO:0000247	0.001000000000000382	False	C4H4O5	-2	mal__L	META:MAL	CHEBI:11066	HMDB00156	BJEPYKJPYRNKOW-REOHCLBHSA-L	C00149	MNXM98	113544	1918	cpd00130								
M_g3p_c	Glyceraldehyde 3-phosphate	c	False	SBO:0000247	0.0010000000000000358	False	C3H5O6P	-2	g3p	META:GAP	CHEBI:29052	HMDB01112	LXJXRIRHZLFYRP-VKHMYHEASA-L	C00118	MNXM74	29578	1687	cpd19005								
M_etoh_c	Ethanol	c	False	SBO:0000247	0.0010000000000000002	False	C2H6O	0	etoh	META:ETOH	CHEBI:14222	HMDB00108	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363	56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062		
M_so3_c	Sulfite	c	False	SBO:0000247	0.11435406932365687	False	O3S	-2	so3	META:SO3	CHEBI:33543	HMDB00240	LSNNMFCWUKXFEE-UHFFFAOYSA-L	C00094	MNXM105630		3059	cpd00081		2bf998e0-031f-4353-bbd0-d9c0af36460e		0382072e-fc0c-41a7-be8d-fce140ecf836				
M_met__L_c	L-Methionine	c	False	SBO:0000247	0.022144201282363926	False	C5H11NO2S	0	met__L	META:MET	CHEBI:43990	HMDB33951	FFEARJCKVFRZRR-BYPYZUCNSA-N	C00073	MNXM61	174390	2315	cpd30746		44a61812-39ff-48f9-bf09-8398e8723d5e	D00019					
M_aicar_c	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	c	False	SBO:0000247	0.0011289665708604985	False	C9H13N4O8P	-2	aicar	META:AICAR	CHEBI:18966	HMDB01517	NOTGFIUVDGNKRI-UUOKFMHZSA-L	C04677	MNXM365	111409	1891	cpd02851								
M_5aizc_c	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	c	False	SBO:0000247	0.001000000000000035	False	C9H11N3O9P	-3	5aizc	META:PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	CHEBI:41336	HMDB62424	XFVULMDJZXYMSG-ZIYNGMLESA-L	C04751	MNXM507	111395		cpd02893								
M_ac_e	Acetate	e	False	SBO:0000247	0.0010000000000000002	False	C2H3O2	-1	ac	META:ACET	CHEBI:40486	HMDB00042	QTBSBXVTEAMEQO-UHFFFAOYSA-M	C00033	MNXM26	29416	1278	cpd00029	3e2d750f-df31-4445-9255-163c627e9b4a	b545cabc-8c9e-4b20-8848-efa015b481ea	D00010	d45256fe-61fa-4f5b-bb16-91a3d615e3d8	LMFA01010002	5e4989fc-13d3-45d4-ad57-3be380a9d3c0	449	
M_glx_c	Glyoxylate	c	False	SBO:0000247	0.0010000000000000002	False	C2H1O3	-1	glx	META:GLYOX	CHEBI:5509	HMDB00119	HHLFWLYXYJOTON-UHFFFAOYSA-M	C00048	MNXM69	389678	1838	cpd00040	43b74f4f-bc8a-4b8b-b587-c97d8e9eed48	cdffdb1a-3322-4cc1-9171-d857bfaa198a		aecbda66-6e98-4c11-aeaf-6a072f4f963c		9dc0aa3b-447a-4b5d-8157-501b036f9626		
M_etoh_e	Ethanol	e	False	SBO:0000247	0.0010000000000000002	False	C2H6O	0	etoh	META:ETOH	CHEBI:14222	HMDB00108	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363	56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062		
M_glcn_p	D-Gluconate	p	False	SBO:0000247	0.0010000000000000002	False	C6H11O7	-1	glcn	META:GLUCONATE	CHEBI:42715	HMDB03373	RGHNJXZEOKUKBD-SQOUGZDYSA-M	C00257	MNXM341		1998	cpd00222								
M_air_c	5-amino-1-(5-phospho-D-ribosyl)imidazole	c	False	SBO:0000247	0.6488340640916724	False	C8H12N3O7P	-2	air	5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	CHEBI:58592	HMDB62575	PDACUKOKVHBVHJ-ZRTZXPPTSA-M		MNXM162266											
M_6pgc_c	6-Phospho-D-gluconate	c	False	SBO:0000247	6.663051397017112	False	C6H10O10P	-3	6pgc	META:CPD-2961	CHEBI:58759	HMDB62800	BIRSGZKFKXLSJQ-SQOUGZDYSA-K	C00345	MNXM325	29996	2024	cpd00284								
M_nh4_c	Ammonium	c	False	SBO:0000247	0.020015082744186126	False	H4N	1	nh4	META:AMMONIA	CHEBI:13407	HMDB41827	QGZKDVFQNNGYKY-UHFFFAOYSA-O	C01342	MNXM15	113561	43	cpd00013	96667bd9-aeae-4e8f-89d3-100d0396af05	41e4c903-407f-49f7-bf6b-0a94d39fa3a7	D02915			27a89bdf-42f7-478f-91d8-e39881581096		
M_tdec2eACP_c	Trans-Dec-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	1.1519675941450023	False	C21H37N2O8PRS	-1	tdec2eACP		CHEBI:10724			C05754	MNXM28221			cpd11475					LMFA07060012			
M_hdeACP_c	Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)	c	False	SBO:0000247	0.010272666773582375	False	C27H49N2O8PRS	-1	hdeACP						MNXM89949											
M_pi_c	Phosphate	c	False	SBO:0000247	0.08450068766682173	False	HO4P	-2	pi	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009	aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26		
M_argsuc_c	N(omega)-(L-Arginino)succinate	c	False	SBO:0000247	0.447896011211207	False	C10H17N4O6	-1	argsuc	META:L-ARGININO-SUCCINATE	CHEBI:21475	HMDB01006	KDZOASGQNOPSCU-ZBHICJROSA-M	C03406	MNXM722743	34575	4057	cpd29673								
M_nh4_p	Ammonium	p	False	SBO:0000247	0.0009999999999999994	False	H4N	1	nh4	META:AMMONIA	CHEBI:13407	HMDB41827	QGZKDVFQNNGYKY-UHFFFAOYSA-O	C01342	MNXM15	113561	43	cpd00013	96667bd9-aeae-4e8f-89d3-100d0396af05	41e4c903-407f-49f7-bf6b-0a94d39fa3a7	D02915			27a89bdf-42f7-478f-91d8-e39881581096		
M_chor_c	Chorismate	c	False	SBO:0000247	0.05279518355988414	False	C10H8O6	-2	chor	META:CHORISMATE	CHEBI:13993	HMDB12199	WTFXTQVDAKGDEY-HTQZYQBOSA-L	C00251	MNXM337	964856	1992	cpd00216								
M_hom__L_c	L-Homoserine	c	False	SBO:0000247	0.0114945686154743	False	C4H9NO3	0	hom__L	META:HOMO-SER	CHEBI:13123	HMDB00719	UKAUYVFTDYCKQA-VKHMYHEASA-N	C00263	MNXM353		2001	cpd00227								
